name,nationality,political_views,religion,notes,profession,description_original,odnb_link
"Crosby, Thomas (1665-1768)",,,baptist,,historian,Baptist historian,http://www.oxforddnb.com/view/article/6786?docPos=7
"Crossman, Samuel (1624-1684)",,,Church of England,bristol,clergyman,"Church of England clergyman, bristol",http://www.oxforddnb.com/view/article/6809
"Crouch, Henry (NA-1732)",,,,,bookseller,"successful bookseller, historian, writer",http://www.oxforddnb.com/view/article/52645
"Crouch, Nathaniel (1632-1752)",,,,,,,
"Crull, J (NA-1713)",,royalist,conformer,,,comforming royalist,http://www.oxforddnb.com/view/article/6848
"Cunningham, T (NA-1789)",,,,,antiquary,barrister antiquary,http://www.oxforddnb.com/view/article/6934?docPos=48
"Currie, John (1679-1765)",,,,,,,
"Curzon, H",,,,,,,
"D'anvers, Caleb",,whig,,"Amhurst, Nicholas",satirist,"Amhurst, Nicholas (real name), whig satirist",http://www.oxforddnb.com/view/article/446?docPos=1
"D'anvers, Knightley (NA-1740)",,,,,,,
"Dalton, Michael (NA-1648)",,,,,legal historian,legal historian,http://www.oxforddnb.com/view/article/7067
"Daniel, Gabriel (1649-1728)",,,,,,,
"Davenant, Charles (1656-1714)",,tory,,anti-Scot,poltiical economist,"tory, political economist, Critising Scots on different occasions",http://www.oxforddnb.com/view/article/7195
"Davies, John (1569-1626)",,royalist,,,,Royalist,http://www.oxforddnb.com/view/article/7245?docPos=3
"Davies, Myles (1662-1716)",,royalist,,anti-catholic,bibliographer,"anti-catholic, bibligrapher, royalist",http://www.oxforddnb.com/view/article/7253
"Davies, Samuel (1723-1761)",,,presbyterian,America,,"Presbyterian, moved to America",http://www.oxforddnb.com/view/article/68531?docPos=1
"De Coetlogon, Dennis (NA-1749)",,,,Universal Dictionary of Arts and Sciences (1740),,Universal Dictionary of Arts and Sciences (1740),http://www.oxforddnb.com/view/article/5803
"De Laune, Thomas (NA-1685)",,,,,,,
"Defoe, Daniel (1661-1731)",,unionist,,pro-union,author,"writer, unionist (whig and tory)",http://www.oxforddnb.com/view/article/7421?docPos=1
"Degge, Simon (1612-1704)",,,,,judge,judge,http://www.oxforddnb.com/view/article/7423?docPos=1
"Dilworth, Thomas (NA-1780)",,,,,,,
"Disney, Daniel (1767-NA)",,,,,,,
"Dodd, Charles (1672-1743)",,royalist,Catholic,,historian,"Roman catholic historian, royalist",http://www.oxforddnb.com/view/article/7733?docPos=7
"Donaldson, Alexander (NA-1794)",Scot,,,Hume publisher,bookseller,"Bookseller, Scot, Hume publisher",http://www.oxforddnb.com/view/article/64278?docPos=1
"Donne, Benjamin (1729-1798)",,,,bristol,cartographer,"cartographer, Bristol",http://www.oxforddnb.com/view/article/7815?docPos=1
"Douglas, John (1721-1807)",Scot,,,dispute with Hume on miracles,,"Scot, dispute with Hume on miracles",http://www.oxforddnb.com/view/article/7908?docPos=3
"Downes, Samuel (NA-1723)",,,,,,,
"Drake, Francis (1696-1771)",,jacobite,,,antiquary,"Jacobite, Antiquary",http://www.oxforddnb.com/view/article/8023?docPos=8
"Draycott, Jeremy",,,,,,,
"Drummond, Robert Hay (1711-1776)",,tory,,,archbishop,"archbishop, tory",http://www.oxforddnb.com/view/article/8081?docPos=39
"Drummond, William (1585-1649)",Scot,,anti-presbyterian,anti-clerical,,"Scot, anti-clerical, anti-presbyterian, interesting",http://www.oxforddnb.com/view/article/8085?docPos=44
"Dryden, John (1631-1700)",,,,anti-catholic,poet,anti-catholic poet,http://www.oxforddnb.com/view/article/8108?docPos=1
"Duff, William (1721-1750)",Scot,,,anti-buchanite,,"Scot, anti-Buchananite critique of the overambitious medieval nobility and sympathising with the troubled Scottish ",
"Dugdale, William (1605-1686)",,royalist,,,,ROYALIST; Short View is based partly on a record of events kept by Dug- dale at Oxford during the war ,http://www.oxforddnb.com/view/article/8186?docPos=1
"Dumont, Jean (1667-1727)",,,,,,,
"Duncombe, Giles",,,,,,,
"Dunton, John (1659-1733)",,whig,,,bookseller,"whig, bookseller",http://www.oxforddnb.com/view/article/8299?docPos=1
"Dyche, Thomas (NA-1733)",,,,,,,
"Earbery, Matthias (1690-1740)",,tory,,nonjuror,,nonjuring tory,http://www.oxforddnb.com/view/article/37383?docPos=1
"Echard, Laurence (1670-1730)",,whig,,leading whig,,"leading English Whig, very much",http://www.oxforddnb.com/view/article/8442
"Edwards, Jonathan (1703-1758)",American,,calvinist,,thelogian,"American theologisan, calvinist, philosopher",http://www.oxforddnb.com/view/article/48853?docPos=2
"Egmont, John Perceval (1711-1770)",,,,disliked,politician,disliked politician,http://www.oxforddnb.com/view/article/21912?docPos=2
"Elliot, Richard (NA-1788)",,,,,,,
"Ellwood, Thomas (1639-1713)",,,quaker,,,Quaker,http://www.oxforddnb.com/view/article/8726
"Ellys, Anthony (1690-1761)",,whig,,moderate,bishop,"bishop, moderate whig",http://www.oxforddnb.com/view/article/8727?docPos=1
Englishman,,,,,,,
"Erskine, Ebenezer (1680-1754)",Scot,whig,seccession church,anti-jacobite,,"Scot, whig, anti-Jacobite, founder of Seccession church",http://www.oxforddnb.com/view/article/8853?docPos=11
"Erskine, John (1721-1803)",Scot,whig,seccession church,,,"Scot, whig, anti-Jacobite, part of Seccssion church",http://www.oxforddnb.com/view/article/8871?docPos=34
