ISSN,ALPVM,LOPVM,LEVIKKI,LEVIKKI_S
0782-5560,01.01.1994,31.12.1994,7493,
0782-5560,01.01.1992,31.12.1993,8484,
0782-5560,01.01.1990,31.12.1991,8208,
0356-1682,01.01.1996,31.12.1997,8016,
0356-1682,01.01.1995,31.12.1995,9203,
0356-1682,01.01.1992,31.12.1994,11754,
0356-1682,01.01.1990,31.12.1991,11921,
0357-2021,01.01.1998,31.12.1999,23285,
0357-2021,01.01.1997,31.12.1997,22269,
0357-2021,01.01.1996,31.12.1996,21664,
0357-2021,01.01.1995,31.12.1995,21875,
0357-2021,01.01.1994,31.12.1994,22651,
0357-2021,01.01.1993,31.12.1993,24090,
0357-2021,01.01.1992,31.12.1992,24120,
0357-2021,01.01.1991,31.12.1991,24674,
0357-2021,01.01.1990,31.12.1990,24590,
0356-1380,01.01.1997,31.12.1999,8866,
0356-1380,01.01.1996,31.12.1996,10201,
0356-1380,01.01.1993,31.12.1995,11198,
0356-1380,01.01.1992,31.12.1992,11975,
0356-1380,01.01.1991,31.12.1991,13658,
0356-1380,01.01.1990,31.12.1990,14596,
0782-7768,01.01.1995,,4700,
0782-7768,01.01.1994,31.12.1994,5000,
0782-7768,01.01.1992,31.12.1993,5102,
0782-7768,01.01.1990,31.12.1991,5297,
0359-6095,01.01.1996,31.12.1997,4909,
0359-6095,01.01.1994,31.12.1995,5106,
0359-6095,01.01.1992,31.12.1993,5322,
0359-6095,01.01.1990,31.12.1991,5247,
0788-8279,01.01.1997,31.12.2000,6082,
0788-8279,01.01.1996,31.12.1996,6633,
0788-8279,01.01.1993,31.12.1995,6984,
0788-8279,01.01.1991,31.12.1992,7065,
0788-8279,01.01.1990,31.12.1990,6678,
0787-5312,01.01.1998,31.12.1998,5813,
0787-5312,01.01.1997,31.12.1997,5904,
0787-5312,01.01.1996,31.12.1996,5920,
0787-5312,01.01.1995,31.12.1995,5987,
0787-5312,01.01.1993,31.12.1994,6281,
0787-5312,01.01.1992,31.12.1992,6451,
0787-5312,01.01.1991,31.12.1991,6508,
0787-5312,01.01.1990,31.12.1990,6414,
0782-5390,01.01.1996,31.12.1997,6154,
0782-5390,01.01.1994,31.12.1995,5806,
0782-5390,01.01.1992,31.12.1992,7224,
